model,forecast_from,id,horizon,date_horizon,quantile,value
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.01,1048
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.025,1060
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.05,1071
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.1,1084
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.15,1092
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.2,1099
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.25,1104
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.3,1109
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.35,1113
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.4,1118
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.45,1122
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.5,1125
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.55,1129
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.6,1133
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.65,1137
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.7,1140
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.75,1145
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.8,1150
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.85,1157
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.9,1165
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.95,1177
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.975,1192
ARIMA regression,2021-11-06,BE,1,2021-11-13,0.99,1201
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.01,1144
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.025,1154
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.05,1163
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.1,1172
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.15,1178
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.2,1184
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.25,1189
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.3,1195
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.35,1198
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.4,1203
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.45,1207
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.5,1211
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.55,1215
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.6,1218
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.65,1221
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.7,1226
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.75,1230
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.8,1236
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.85,1241
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.9,1248
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.95,1259
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.975,1268
ARIMA regression,2021-11-06,BE,2,2021-11-20,0.99,1282
ARIMA regression,2021-11-06,BE,3,2021-11-27,0.01,1226
ARIMA regression,2021-11-06,BE,3,2021-11-27,0.025,1242
ARIMA regression,2021-11-06,BE,3,2021-11-27,0.05,1251
