model,forecast_from,id,horizon,date_horizon,quantile,value
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.01,637
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.025,847
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.05,981
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.1,1146
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.15,1293
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.2,1389
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.25,1464
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.3,1529
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.35,1591
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.4,1640
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.45,1711
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.5,1759
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.55,1828
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.6,1891
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.65,1955
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.7,2031
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.75,2096
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.8,2169
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.85,2239
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.9,2356
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.95,2542
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.975,2691
Time series ensemble,2021-11-20,BE,1,2021-11-27,0.99,2865
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.01,459
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.025,663
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.05,943
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.1,1153
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.15,1305
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.2,1439
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.25,1521
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.3,1611
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.35,1691
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.4,1770
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.45,1842
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.5,1909
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.55,1995
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.6,2067
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.65,2157
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.7,2247
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.75,2336
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.8,2452
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.85,2581
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.9,2745
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.95,2939
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.975,3169
Time series ensemble,2021-11-20,BE,2,2021-12-04,0.99,3414
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.01,391
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.025,594
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.05,784
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.1,1028
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.15,1253
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.2,1368
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.25,1484
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.3,1612
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.35,1755
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.4,1841
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.45,1951
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.5,2031
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.55,2129
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.6,2228
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.65,2311
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.7,2390
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.75,2500
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.8,2634
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.85,2795
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.9,2965
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.95,3315
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.975,3558
Time series ensemble,2021-11-20,BE,3,2021-12-11,0.99,3847
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.01,23
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.025,298
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.05,589
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.1,940
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.15,1151
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.2,1324
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.25,1491
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.3,1636
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.35,1788
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.4,1916
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.45,2061
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.5,2180
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.55,2296
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.6,2400
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.65,2506
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.7,2595
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.75,2740
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.8,2906
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.85,3070
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.9,3345
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.95,3726
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.975,4032
Time series ensemble,2021-11-20,BE,4,2021-12-18,0.99,4378
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.01,274
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.025,295
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.05,324
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.1,353
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.15,376
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.2,390
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.25,404
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.3,414
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.35,428
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.4,437
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.45,448
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.5,456
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.55,466
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.6,477
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.65,487
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.7,499
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.75,509
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.8,524
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.85,538
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.9,557
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.95,582
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.975,599
Time series ensemble,2021-11-20,DK,1,2021-11-27,0.99,622
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.01,203
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.025,239
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.05,276
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.1,323
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.15,343
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.2,367
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.25,388
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.3,407
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.35,428
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.4,441
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.45,456
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.5,468
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.55,482
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.6,497
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.65,513
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.7,528
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.75,548
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.8,570
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.85,593
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.9,624
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.95,667
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.975,702
Time series ensemble,2021-11-20,DK,2,2021-12-04,0.99,748
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.01,179
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.025,218
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.05,273
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.1,319
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.15,346
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.2,372
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.25,394
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.3,411
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.35,435
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.4,452
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.45,470
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.5,486
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.55,505
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.6,524
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.65,538
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.7,558
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.75,580
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.8,600
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.85,634
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.9,672
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.95,730
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.975,776
Time series ensemble,2021-11-20,DK,3,2021-12-11,0.99,860
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.01,111
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.025,172
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.05,232
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.1,283
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.15,330
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.2,362
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.25,386
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.3,415
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.35,439
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.4,462
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.45,484
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.5,501
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.55,523
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.6,544
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.65,567
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.7,584
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.75,606
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.8,631
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.85,667
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.9,714
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.95,764
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.975,803
Time series ensemble,2021-11-20,DK,4,2021-12-18,0.99,862
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.01,81
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.025,118
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.05,139
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.1,164
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.15,187
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.2,204
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.25,219
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.3,232
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.35,244
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.4,253
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.45,263
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.5,273
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.55,282
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.6,294
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.65,305
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.7,317
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.75,331
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.8,344
Time series ensemble,2021-11-20,EE,1,2021-11-27,0.85,359
