forecast_date,target,target_end_date,location,type,quantile,value
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.01,344
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.025,362
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.05,372
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.1,386
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.15,398
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.2,405
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.25,412
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.3,419
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.35,424
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.4,429
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.45,434
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.5,438
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.55,443
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.6,449
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.65,455
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.7,461
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.75,467
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.8,475
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.85,486
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.9,494
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.95,508
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.975,529
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.99,544
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.01,313
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.025,335
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.05,349
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.1,369
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.15,383
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.2,395
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.25,403
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.3,413
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.35,420
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.4,427
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.45,432
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.5,437
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.55,443
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.6,451
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.65,458
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.7,465
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.75,471
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.8,478
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.85,488
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.9,500
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.95,516
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.975,537
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.99,546
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.01,314
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.025,334
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.05,345
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.1,364
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.15,377
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.2,387
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.25,399
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.3,408
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.35,417
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.4,425
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.45,431
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.5,437
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.55,444
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.6,451
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.65,457
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.7,465
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.75,475
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.8,484
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.85,496
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.9,513
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.95,532
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.975,546
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.99,576
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.01,295
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.025,320
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.05,339
