forecast_date,target,target_end_date,location,type,quantile,value
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.01,486
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.025,501
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.05,511
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.1,525
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.15,533
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.2,538
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.25,546
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.3,552
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.35,559
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.4,564
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.45,569
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.5,576
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.55,580
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.6,585
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.65,590
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.7,596
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.75,601
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.8,608
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.85,614
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.9,622
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.95,637
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.975,649
2021-10-17,1 wk ahead inc hosp,2021-10-23,BE,quantile,0.99,662
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.01,500
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.025,510
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.05,519
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.1,533
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.15,543
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.2,550
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.25,556
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.3,562
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.35,568
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.4,572
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.45,577
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.5,582
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.55,586
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.6,591
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.65,596
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.7,602
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.75,608
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.8,613
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.85,621
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.9,630
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.95,643
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.975,655
2021-10-17,2 wk ahead inc hosp,2021-10-30,BE,quantile,0.99,665
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.01,548
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.025,560
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.05,577
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.1,590
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.15,598
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.2,605
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.25,612
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.3,618
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.35,622
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.4,630
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.45,635
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.5,639
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.55,644
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.6,649
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.65,654
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.7,658
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.75,665
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.8,672
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.85,681
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.9,690
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.95,703
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.975,718
2021-10-17,3 wk ahead inc hosp,2021-11-06,BE,quantile,0.99,733
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.01,599
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.025,613
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.05,626
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.1,640
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.15,651
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.2,659
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.25,665
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.3,670
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.35,676
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.4,681
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.45,686
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.5,692
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.55,697
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.6,702
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.65,706
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.7,712
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.75,717
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.8,723
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.85,730
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.9,739
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.95,751
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.975,762
2021-10-17,4 wk ahead inc hosp,2021-11-13,BE,quantile,0.99,771
2021-10-17,1 wk ahead inc hosp,2021-10-23,DK,quantile,0.01,106
