model,forecast_from,id,horizon,date_horizon,quantile,value
Case-convolution,2021-10-23,BE,1,2021-10-30,0.01,525
Case-convolution,2021-10-23,BE,1,2021-10-30,0.025,593
Case-convolution,2021-10-23,BE,1,2021-10-30,0.05,718
Case-convolution,2021-10-23,BE,1,2021-10-30,0.1,783
Case-convolution,2021-10-23,BE,1,2021-10-30,0.15,831
Case-convolution,2021-10-23,BE,1,2021-10-30,0.2,859
Case-convolution,2021-10-23,BE,1,2021-10-30,0.25,882
Case-convolution,2021-10-23,BE,1,2021-10-30,0.3,906
Case-convolution,2021-10-23,BE,1,2021-10-30,0.35,931
Case-convolution,2021-10-23,BE,1,2021-10-30,0.4,950
Case-convolution,2021-10-23,BE,1,2021-10-30,0.45,976
Case-convolution,2021-10-23,BE,1,2021-10-30,0.5,997
Case-convolution,2021-10-23,BE,1,2021-10-30,0.55,1018
Case-convolution,2021-10-23,BE,1,2021-10-30,0.6,1037
Case-convolution,2021-10-23,BE,1,2021-10-30,0.65,1053
Case-convolution,2021-10-23,BE,1,2021-10-30,0.7,1078
Case-convolution,2021-10-23,BE,1,2021-10-30,0.75,1113
Case-convolution,2021-10-23,BE,1,2021-10-30,0.8,1148
Case-convolution,2021-10-23,BE,1,2021-10-30,0.85,1186
Case-convolution,2021-10-23,BE,1,2021-10-30,0.9,1220
Case-convolution,2021-10-23,BE,1,2021-10-30,0.95,1315
Case-convolution,2021-10-23,BE,1,2021-10-30,0.975,1431
Case-convolution,2021-10-23,BE,1,2021-10-30,0.99,1506
Case-convolution,2021-10-23,BE,2,2021-11-06,0.01,770
Case-convolution,2021-10-23,BE,2,2021-11-06,0.025,887
Case-convolution,2021-10-23,BE,2,2021-11-06,0.05,954
Case-convolution,2021-10-23,BE,2,2021-11-06,0.1,1043
Case-convolution,2021-10-23,BE,2,2021-11-06,0.15,1107
Case-convolution,2021-10-23,BE,2,2021-11-06,0.2,1167
Case-convolution,2021-10-23,BE,2,2021-11-06,0.25,1212
Case-convolution,2021-10-23,BE,2,2021-11-06,0.3,1254
Case-convolution,2021-10-23,BE,2,2021-11-06,0.35,1292
Case-convolution,2021-10-23,BE,2,2021-11-06,0.4,1332
Case-convolution,2021-10-23,BE,2,2021-11-06,0.45,1370
Case-convolution,2021-10-23,BE,2,2021-11-06,0.5,1414
Case-convolution,2021-10-23,BE,2,2021-11-06,0.55,1453
Case-convolution,2021-10-23,BE,2,2021-11-06,0.6,1495
Case-convolution,2021-10-23,BE,2,2021-11-06,0.65,1535
Case-convolution,2021-10-23,BE,2,2021-11-06,0.7,1574
Case-convolution,2021-10-23,BE,2,2021-11-06,0.75,1614
Case-convolution,2021-10-23,BE,2,2021-11-06,0.8,1674
Case-convolution,2021-10-23,BE,2,2021-11-06,0.85,1731
Case-convolution,2021-10-23,BE,2,2021-11-06,0.9,1809
Case-convolution,2021-10-23,BE,2,2021-11-06,0.95,1934
Case-convolution,2021-10-23,BE,2,2021-11-06,0.975,2055
Case-convolution,2021-10-23,BE,2,2021-11-06,0.99,2281
Case-convolution,2021-10-23,BE,3,2021-11-13,0.01,880
Case-convolution,2021-10-23,BE,3,2021-11-13,0.025,1092
Case-convolution,2021-10-23,BE,3,2021-11-13,0.05,1212
Case-convolution,2021-10-23,BE,3,2021-11-13,0.1,1358
Case-convolution,2021-10-23,BE,3,2021-11-13,0.15,1458
Case-convolution,2021-10-23,BE,3,2021-11-13,0.2,1529
Case-convolution,2021-10-23,BE,3,2021-11-13,0.25,1621
Case-convolution,2021-10-23,BE,3,2021-11-13,0.3,1675
Case-convolution,2021-10-23,BE,3,2021-11-13,0.35,1742
Case-convolution,2021-10-23,BE,3,2021-11-13,0.4,1810
Case-convolution,2021-10-23,BE,3,2021-11-13,0.45,1869
Case-convolution,2021-10-23,BE,3,2021-11-13,0.5,1914
